Season Year,Week Number,Home Owner,Home Team,Home Score,Away Owner,Away Team,Away Score
2018,1,Dylan,The Waterboys,164.43,Phillip,Show Me Dem TDS,115.27
2018,1,Casey,Good football team!!,157.83,Mike,Ronny Man,131.93
2018,1,Trace,Trace's Team,172.33,--Hidden--,The Mongol Horde,167.17
2018,2,Dylan,The Waterboys,162.97,Casey,Good football team!!,154.63
2018,2,Phillip,Show Me Dem TDS,137.9,--Hidden--,The Mongol Horde,129.53
2018,2,Trace,Trace's Team,126.47,Mike,Ronny Man,84.05
2018,3,Dylan,The Waterboys,117.77,Trace,Trace's Team,150.47
2018,3,Phillip,Show Me Dem TDS,151.97,Casey,Good football team!!,128.37
2018,3,Mike,Ronny Man,82.41,--Hidden--,The Mongol Horde,131.22
2018,4,Dylan,The Waterboys,228.42,Mike,Ronny Man,134.03
2018,4,Phillip,Show Me Dem TDS,157.36,Trace,Trace's Team,190.48
2018,4,Casey,Good football team!!,133.23,--Hidden--,The Mongol Horde,132.13
2018,5,Dylan,The Waterboys,142.93,--Hidden--,The Mongol Horde,158.06
2018,5,Phillip,Show Me Dem TDS,138.33,Mike,Ronny Man,122.14
2018,5,Casey,Good football team!!,186.35,Trace,Trace's Team,133.55
2018,6,Dylan,The Waterboys,150.87,Phillip,Show Me Dem TDS,171.48
2018,6,Casey,Good football team!!,176.43,Mike,Ronny Man,74.6
2018,6,Trace,Trace's Team,196.02,--Hidden--,The Mongol Horde,137.38
2018,7,Dylan,The Waterboys,145.6,Casey,Good football team!!,139.93
2018,7,Phillip,Show Me Dem TDS,201.27,--Hidden--,The Mongol Horde,129.42
2018,7,Trace,Trace's Team,108.81,Mike,Ronny Man,98.35
2018,8,Dylan,The Waterboys,174.31,Trace,Trace's Team,184.92
2018,8,Phillip,Show Me Dem TDS,160.45,Casey,Good football team!!,180.98
2018,8,Mike,Ronny Man,72.58,--Hidden--,The Mongol Horde,113.15
2018,9,Dylan,The Waterboys,160.59,Mike,Ronny Man,93.65
2018,9,Phillip,Show Me Dem TDS,140.55,Trace,Trace's Team,156.53
2018,9,Casey,Good football team!!,187.33,--Hidden--,The Mongol Horde,117.1
2018,10,Dylan,The Waterboys,162.76,--Hidden--,The Mongol Horde,199.63
2018,10,Phillip,Show Me Dem TDS,111.52,Mike,Ronny Man,140.68
2018,10,Casey,Good football team!!,157.5,Trace,Trace's Team,121.41
2018,11,Dylan,The Waterboys,182.57,Phillip,Show Me Dem TDS,188.68
2018,11,Casey,Good football team!!,137.97,Mike,Ronny Man,146.57
2018,11,Trace,Trace's Team,147.3,--Hidden--,The Mongol Horde,127.76
2018,12,Dylan,The Waterboys,169.82,Casey,Good football team!!,129.22
2018,12,Phillip,Show Me Dem TDS,144.05,--Hidden--,The Mongol Horde,169.17
2018,12,Trace,Trace's Team,135.48,Mike,Ronny Man,140.57
2018,13,Dylan,The Waterboys,200.92,Trace,Trace's Team,101.85
2018,13,Phillip,Show Me Dem TDS,148.18,Casey,Good football team!!,136.95
2018,13,Mike,Ronny Man,107.0,--Hidden--,The Mongol Horde,134.83
2018,14,Dylan,The Waterboys,140.71,Mike,Ronny Man,136.63
2018,14,Phillip,Show Me Dem TDS,170.9,Trace,Trace's Team,143.17
2018,14,Casey,Good football team!!,117.35,--Hidden--,The Mongol Horde,143.23
2018,15,Dylan,The Waterboys,134.37,Phillip,Show Me Dem TDS,136.85
2018,15,Casey,Good football team!!,123.8,Trace,Trace's Team,143.4
2018,16,Dylan,The Waterboys,129.0,Casey,Good football team!!,140.02
2018,16,Phillip,Show Me Dem TDS,159.34,Trace,Trace's Team,156.14
2018,16,Mike,Ronny Man,158.98,--Hidden--,The Mongol Horde,135.07
2019,1,Dylan,Hood Phenomenons,149.65,Phillip,Bak2Bak,136.95
2019,1,Trace,#1 CumBoy,180.78,Mike,RonnyMan2,133.97
2019,1,Casey,FUNdamentals,156.65,Ryan,The Mamluks,168.0
2019,2,Dylan,Hood Phenomenons,109.45,Trace,#1 CumBoy,140.27
2019,2,Phillip,Bak2Bak,142.78,Ryan,The Mamluks,161.77
2019,2,Casey,FUNdamentals,144.65,Mike,RonnyMan2,138.94
2019,3,Dylan,Hood Phenomenons,228.5,Casey,FUNdamentals,159.57
2019,3,Phillip,Bak2Bak,89.1,Trace,#1 CumBoy,134.5
2019,3,Mike,RonnyMan2,147.58,Ryan,The Mamluks,212.94
2019,4,Dylan,Hood Phenomenons,109.98,Mike,RonnyMan2,172.32
2019,4,Phillip,Bak2Bak,172.23,Casey,FUNdamentals,110.7
2019,4,Trace,#1 CumBoy,140.88,Ryan,The Mamluks,148.17
2019,5,Dylan,Hood Phenomenons,144.78,Ryan,The Mamluks,208.0
2019,5,Phillip,Bak2Bak,174.93,Mike,RonnyMan2,154.48
2019,5,Trace,#1 CumBoy,179.6,Casey,FUNdamentals,195.88
2019,6,Dylan,Hood Phenomenons,144.18,Phillip,Bak2Bak,151.77
2019,6,Trace,#1 CumBoy,128.48,Mike,RonnyMan2,147.72
2019,6,Casey,FUNdamentals,148.65,Ryan,The Mamluks,172.47
2019,7,Dylan,Hood Phenomenons,161.08,Trace,#1 CumBoy,115.53
2019,7,Phillip,Bak2Bak,161.38,Ryan,The Mamluks,156.03
2019,7,Casey,FUNdamentals,85.43,Mike,RonnyMan2,163.6
2019,8,Dylan,Hood Phenomenons,180.15,Casey,FUNdamentals,124.18
2019,8,Phillip,Bak2Bak,172.05,Trace,#1 CumBoy,151.33
2019,8,Mike,RonnyMan2,159.27,Ryan,The Mamluks,186.21
2019,9,Dylan,Hood Phenomenons,111.85,Mike,RonnyMan2,111.37
2019,9,Phillip,Bak2Bak,159.03,Casey,FUNdamentals,165.12
2019,9,Trace,#1 CumBoy,149.22,Ryan,The Mamluks,202.1
2019,10,Dylan,Hood Phenomenons,161.85,Ryan,The Mamluks,134.0
2019,10,Phillip,Bak2Bak,152.02,Mike,RonnyMan2,158.03
2019,10,Trace,#1 CumBoy,147.48,Casey,FUNdamentals,173.07
2019,11,Dylan,Hood Phenomenons,118.51,Phillip,Bak2Bak,157.7
2019,11,Trace,#1 CumBoy,123.2,Mike,RonnyMan2,123.6
2019,11,Casey,FUNdamentals,122.82,Ryan,The Mamluks,162.08
2019,12,Dylan,Hood Phenomenons,159.85,Trace,#1 CumBoy,116.16
2019,12,Phillip,Bak2Bak,186.92,Ryan,The Mamluks,123.82
2019,12,Casey,FUNdamentals,140.38,Mike,RonnyMan2,182.68
2019,13,Dylan,Hood Phenomenons,140.58,Casey,FUNdamentals,141.25
2019,13,Phillip,Bak2Bak,119.98,Trace,#1 CumBoy,135.48
2019,13,Mike,RonnyMan2,127.8,Ryan,The Mamluks,106.45
2019,14,Dylan,Hood Phenomenons,145.33,Mike,RonnyMan2,149.78
2019,14,Phillip,Bak2Bak,173.33,Casey,FUNdamentals,149.18
2019,14,Trace,#1 CumBoy,157.7,Ryan,The Mamluks,120.22
2019,15,Dylan,Hood Phenomenons,151.55,Ryan,The Mamluks,183.48
2019,15,Phillip,Bak2Bak,152.68,Mike,RonnyMan2,177.17
2019,16,Dylan,Hood Phenomenons,119.18,Phillip,Bak2Bak,126.9
2019,16,Trace,#1 CumBoy,141.87,Casey,FUNdamentals,173.07
2019,16,Mike,RonnyMan2,179.93,Ryan,The Mamluks,124.8
2020,1,Dylan,#2020BrainTrauma,95.43,Phillip,Ho Chi Win City,129.71
2020,1,Trace,Poopy Butt,153.59,Mike,Pacific Islanders,113.09
2020,1,Casey,CUBA,130.87,Ryan,The Janissaries,138.54
2020,2,Dylan,#2020BrainTrauma,129.28,Trace,Poopy Butt,116.05
2020,2,Phillip,Ho Chi Win City,163.82,Ryan,The Janissaries,107.55
2020,2,Casey,CUBA,124.84,Mike,Pacific Islanders,86.62
2020,3,Dylan,#2020BrainTrauma,114.06,Casey,CUBA,150.54
2020,3,Phillip,Ho Chi Win City,144.32,Trace,Poopy Butt,138.85
2020,3,Mike,Pacific Islanders,118.85,Ryan,The Janissaries,140.21
