Owner Name,Team Name,Platform Owner ID,Team Group ID,Seasons Active,Total Seasons
Dylan,The Dawn of Man-Ape,frb:c7c6749e819446da852fc4d426f2a4a2,,"2018, 2019, 2020, 2021, 2022",5
Phillip,Ho Chi Win City,frb:b79058d57db5405e9c70eca0f73e279f,,"2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025",8
Casey,AARPFL,frb:1b2ccfd58f964fd0acd8b364ffbde9c7,,"2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025",8
Trace,Gl Hf (you’re gay),frb:2c8dc9f604004083b647e47affda1137,,"2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025",8
Mike,Jelqaida,frb:0df4814ec79a47ffa65ae9cc2002610e,,"2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025",8
--Hidden--,The Mongol Horde,frb:c0c8f8b9fb3c4fb0955409c65dda403c,,2018,1
Ryan,Bad team not good at football,frb:2958486d7fe644cd8de44e5629ed3c58,,"2019, 2020, 2021, 2022, 2023, 2024, 2025",7
Boaz,Aaron codger,frb:e83f96cb602846b09f98f7524d7c88c7,,"2021, 2022, 2023, 2024, 2025",5
Dustin,Dusty’s Dingleberries,frb:0974c7be49b3418e9e8c102eeb1ab144,,"2021, 2022, 2023, 2024, 2025",5
Cooper,coop’s shit,frb:6c5e23188df046c0917e39b3fa964cd1,,"2022, 2023",2
Dylan,Globo Gym,frb:904518c258af42bc8236a1b55512737b,,"2023, 2024, 2025",3
Jasper,Blue's Balls,frb:6e9d89e567bd44319d0573c90339c8a2,,"2022, 2023, 2024, 2025",4
Torin,Can I Hit Your Vape?,frb:c47251d1123841a091834a3731b6024b,,2023,1
Nick,nick's Great Team,frb:d9009bc6bdc94b5da4d170dcb2d259c2,,2023,1
Tess,Tess Finesse,frb:9be2a76279924f13b7b0c94791c65e08,,"2024, 2025",2
